Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease
Fever,Nausea,Shortness of Breath,Sore Throat,Vomiting,Malaria
Chills,Diarrhea,Cough,Abdominal Pain,Sneezing,Cold
Sneezing,High Fever,Nausea,Headache,Loss of Appetite,Pneumonia
Sneezing,Joint Pain,Nausea,Dizziness,Runny Nose,COVID-19
Nausea,Cough,Fever,Sore Throat,Sneezing,Tuberculosis
Diarrhea,Chills,Sore Throat,Muscle Weakness,Runny Nose,Flu
Nausea,Sweating,Sore Throat,Chest Pain,Loss of Appetite,Dengue
Swelling,Chills,Dizziness,Cough,Fatigue,Bronchitis
Skin Rash,Sneezing,Vomiting,Shortness of Breath,Fever,Tuberculosis
Diarrhea,Cough,High Fever,Muscle Weakness,Skin Rash,Bronchitis
Chest Pain,Sweating,Sore Throat,Joint Pain,Chills,Bronchitis
Fatigue,Chills,Sneezing,Fever,Diarrhea,Typhoid
Abdominal Pain,Loss of Appetite,Body Pain,Dizziness,Runny Nose,Bronchitis
Shortness of Breath,Diarrhea,Swelling,Fever,Nausea,Chikungunya
Dizziness,High Fever,Fatigue,Joint Pain,Headache,Cold
Swelling,Chest Pain,Vomiting,Muscle Weakness,Nausea,Bronchitis
Chest Pain,Sneezing,Sore Throat,Vomiting,Headache,Food Poisoning
Fever,Diarrhea,Vomiting,Skin Rash,Fatigue,Pneumonia
Headache,Abdominal Pain,Runny Nose,Nausea,Sneezing,Asthma
Fatigue,Skin Rash,Muscle Weakness,Joint Pain,Chest Pain,Typhoid
Nausea,Vomiting,Cough,Muscle Weakness,Chills,Malaria
Fever,Dizziness,Cough,Swelling,Chills,Dengue
Diarrhea,Sweating,Nausea,Cough,Fatigue,COVID-19
Joint Pain,Chills,Dizziness,Headache,Loss of Appetite,Allergy
Diarrhea,Headache,Joint Pain,Cough,Body Pain,Bronchitis
Loss of Appetite,Vomiting,Shortness of Breath,Fever,Cough,Tuberculosis
Joint Pain,Skin Rash,Diarrhea,Body Pain,Muscle Weakness,Typhoid
Sneezing,Body Pain,Chills,Joint Pain,Abdominal Pain,Chikungunya
Sneezing,Nausea,Fever,High Fever,Chills,Bronchitis
Vomiting,Chills,Headache,Loss of Appetite,Diarrhea,Flu
Swelling,Loss of Appetite,Runny Nose,Dizziness,Fever,Dengue
Runny Nose,Sore Throat,Abdominal Pain,Headache,Vomiting,Malaria
Diarrhea,Cough,Joint Pain,Sweating,Sore Throat,Typhoid
Runny Nose,Abdominal Pain,Muscle Weakness,Vomiting,Sore Throat,Dengue
Fever,Headache,Abdominal Pain,Cough,Sweating,COVID-19
Sweating,Loss of Appetite,Sore Throat,Headache,Cough,Flu
Fatigue,Sweating,Cough,Runny Nose,Sore Throat,Dengue
Vomiting,Skin Rash,Chest Pain,Abdominal Pain,Cough,Pneumonia
Sweating,Headache,High Fever,Abdominal Pain,Muscle Weakness,Dengue
Muscle Weakness,Nausea,Loss of Appetite,Body Pain,Cough,COVID-19
Chills,Sore Throat,Skin Rash,Body Pain,Fever,Flu
Muscle Weakness,Vomiting,Loss of Appetite,Fatigue,Abdominal Pain,Food Poisoning
Fatigue,Vomiting,Dizziness,Body Pain,Runny Nose,Typhoid
Chest Pain,High Fever,Dizziness,Sneezing,Swelling,COVID-19
Muscle Weakness,Sore Throat,Abdominal Pain,High Fever,Fever,Pneumonia
Skin Rash,Runny Nose,Nausea,Shortness of Breath,Vomiting,COVID-19
Loss of Appetite,Swelling,Sweating,High Fever,Cough,Asthma
Dizziness,Abdominal Pain,Fatigue,Chest Pain,Joint Pain,Allergy
Muscle Weakness,Headache,Runny Nose,Joint Pain,Nausea,Typhoid
Chills,Body Pain,Sore Throat,Cough,Runny Nose,Asthma
Vomiting,Dizziness,Shortness of Breath,Skin Rash,Loss of Appetite,Cold
Fatigue,Sneezing,Diarrhea,Headache,Loss of Appetite,Bronchitis
Diarrhea,Swelling,Shortness of Breath,Skin Rash,Fatigue,Bronchitis
Sore Throat,Nausea,Sweating,Chills,Fever,Pneumonia
High Fever,Fatigue,Skin Rash,Sweating,Joint Pain,COVID-19
Sweating,Cough,Skin Rash,Sneezing,Diarrhea,Asthma
Vomiting,Fatigue,Sweating,Dizziness,Sneezing,Typhoid
Nausea,Chills,Body Pain,Loss of Appetite,Vomiting,Asthma
Loss of Appetite,Skin Rash,Runny Nose,Diarrhea,Sweating,COVID-19
High Fever,Sore Throat,Runny Nose,Dizziness,Fever,Food Poisoning
Joint Pain,Body Pain,Abdominal Pain,Shortness of Breath,Sneezing,Pneumonia
Swelling,Muscle Weakness,Headache,Sweating,Runny Nose,Allergy
Chest Pain,Cough,High Fever,Fatigue,Headache,Tuberculosis
Dizziness,Sweating,Abdominal Pain,Body Pain,Skin Rash,COVID-19
High Fever,Loss of Appetite,Fatigue,Runny Nose,Dizziness,Pneumonia
Chills,Body Pain,Muscle Weakness,Sneezing,Headache,Typhoid
Chest Pain,Sneezing,Fever,Sore Throat,Nausea,Pneumonia
Abdominal Pain,Fever,Shortness of Breath,Runny Nose,Sneezing,Malaria
Abdominal Pain,Skin Rash,Runny Nose,Fever,Muscle Weakness,Food Poisoning
Chills,Runny Nose,Shortness of Breath,Joint Pain,Diarrhea,Cold
Cough,Nausea,Chills,Swelling,Shortness of Breath,Tuberculosis
Swelling,Chest Pain,Loss of Appetite,Shortness of Breath,Skin Rash,Asthma
Fatigue,Cough,Headache,Chills,Body Pain,Chikungunya
Muscle Weakness,Chest Pain,Fever,Swelling,Runny Nose,Typhoid
Chills,Chest Pain,Dizziness,Shortness of Breath,Headache,COVID-19
Joint Pain,Runny Nose,Swelling,Dizziness,Chest Pain,COVID-19
High Fever,Sneezing,Fatigue,Joint Pain,Cough,Dengue
Swelling,High Fever,Runny Nose,Chest Pain,Shortness of Breath,Food Poisoning
Dizziness,Runny Nose,Diarrhea,Vomiting,Chest Pain,Flu
Diarrhea,Muscle Weakness,Sore Throat,Loss of Appetite,Headache,Typhoid
High Fever,Shortness of Breath,Chills,Muscle Weakness,Skin Rash,Cold
Headache,Sweating,Cough,High Fever,Joint Pain,Pneumonia
Fatigue,Joint Pain,Muscle Weakness,Diarrhea,Skin Rash,Asthma
Diarrhea,Muscle Weakness,High Fever,Dizziness,Swelling,Typhoid
Sneezing,Joint Pain,Sore Throat,Fatigue,Diarrhea,Malaria
Chills,Sneezing,Joint Pain,Cough,Chest Pain,Allergy
Swelling,Fatigue,Chills,Nausea,Body Pain,COVID-19
Cough,Headache,Sneezing,Skin Rash,Dizziness,Food Poisoning
Nausea,Sore Throat,Body Pain,Runny Nose,Shortness of Breath,Flu
Cough,Nausea,Chest Pain,Chills,Fever,Malaria
Skin Rash,Loss of Appetite,Chest Pain,Shortness of Breath,Diarrhea,Cold
Runny Nose,Headache,High Fever,Muscle Weakness,Vomiting,Asthma
Sweating,Sneezing,Nausea,Dizziness,Runny Nose,Malaria
Diarrhea,Sneezing,Body Pain,Fever,Fatigue,Food Poisoning
Vomiting,Sore Throat,Chest Pain,Swelling,Sneezing,Food Poisoning
Sweating,Chest Pain,Chills,Joint Pain,Loss of Appetite,Dengue
Sneezing,Body Pain,Muscle Weakness,Dizziness,Sore Throat,Pneumonia
Loss of Appetite,High Fever,Skin Rash,Chest Pain,Joint Pain,Cold
Sneezing,Abdominal Pain,Fatigue,Swelling,Chills,Dengue
Headache,Vomiting,Cough,Sweating,Fever,Bronchitis
Joint Pain,Sweating,Dizziness,Abdominal Pain,Vomiting,Typhoid
Cough,Abdominal Pain,Shortness of Breath,Vomiting,Chills,Typhoid
Sneezing,High Fever,Dizziness,Skin Rash,Cough,Flu
Swelling,Vomiting,High Fever,Runny Nose,Fatigue,Cold
Cough,Headache,Swelling,Muscle Weakness,Sweating,Tuberculosis
Diarrhea,Nausea,Vomiting,Sneezing,Chest Pain,COVID-19
Joint Pain,Cough,Swelling,Abdominal Pain,Muscle Weakness,Chikungunya
Runny Nose,Headache,Nausea,Joint Pain,Fever,Allergy
Sore Throat,Runny Nose,Chills,Swelling,High Fever,Dengue
Joint Pain,Loss of Appetite,Runny Nose,Sore Throat,Body Pain,Food Poisoning
Sneezing,Sweating,Swelling,Shortness of Breath,Runny Nose,Bronchitis
Swelling,Sore Throat,Muscle Weakness,Abdominal Pain,Loss of Appetite,Pneumonia
Chest Pain,Cough,Headache,Swelling,High Fever,Malaria
Muscle Weakness,Loss of Appetite,Chest Pain,Sweating,Fatigue,Tuberculosis
Headache,Runny Nose,Shortness of Breath,Body Pain,Swelling,Bronchitis
Diarrhea,Chills,Sweating,Fever,Chest Pain,Cold
Joint Pain,Headache,Sneezing,Vomiting,Fatigue,Cold
Dizziness,Cough,High Fever,Muscle Weakness,Shortness of Breath,Malaria
Swelling,Shortness of Breath,Chest Pain,Sneezing,Nausea,Tuberculosis
Sneezing,Abdominal Pain,Skin Rash,Sweating,Runny Nose,COVID-19
Skin Rash,Chest Pain,Chills,Sweating,Muscle Weakness,Pneumonia
Sore Throat,Fatigue,Nausea,Skin Rash,Loss of Appetite,COVID-19
Sweating,Chills,Body Pain,Swelling,Sneezing,Asthma
Runny Nose,Sneezing,Body Pain,Headache,Joint Pain,Malaria
Vomiting,Body Pain,Abdominal Pain,Runny Nose,Chest Pain,Tuberculosis
Sore Throat,Nausea,Runny Nose,Abdominal Pain,High Fever,Pneumonia
Diarrhea,Abdominal Pain,Chest Pain,Vomiting,Runny Nose,Tuberculosis
Joint Pain,Shortness of Breath,High Fever,Fever,Skin Rash,Malaria
Sneezing,Vomiting,Abdominal Pain,Diarrhea,Chest Pain,Dengue
Muscle Weakness,Nausea,Sweating,Diarrhea,Abdominal Pain,Food Poisoning
Headache,Skin Rash,Abdominal Pain,Nausea,Joint Pain,Allergy
Shortness of Breath,Loss of Appetite,Diarrhea,Joint Pain,Sneezing,Typhoid
Cough,Shortness of Breath,Swelling,Loss of Appetite,Muscle Weakness,COVID-19
Sore Throat,Skin Rash,Headache,Fever,Chest Pain,Malaria
Chest Pain,Headache,Sweating,Shortness of Breath,Diarrhea,Typhoid
Chest Pain,Swelling,Sweating,Fever,Muscle Weakness,Chikungunya
Sweating,Chest Pain,Muscle Weakness,Skin Rash,Swelling,Cold
Chills,Runny Nose,Swelling,Sore Throat,Sneezing,Chikungunya
Runny Nose,Sore Throat,Nausea,Chest Pain,Sneezing,Tuberculosis
Cough,Loss of Appetite,Swelling,Shortness of Breath,Muscle Weakness,Malaria
Runny Nose,Sneezing,Loss of Appetite,Chest Pain,Fatigue,COVID-19
Diarrhea,Body Pain,Shortness of Breath,Sweating,Muscle Weakness,Bronchitis
Abdominal Pain,Sore Throat,Dizziness,Body Pain,Diarrhea,Typhoid
Sneezing,Muscle Weakness,Cough,Sweating,Nausea,Asthma
Muscle Weakness,Cough,Skin Rash,Loss of Appetite,Joint Pain,Malaria
Headache,Muscle Weakness,High Fever,Body Pain,Skin Rash,Asthma
Sore Throat,Cough,Abdominal Pain,Body Pain,Skin Rash,Flu
Headache,Sneezing,Sore Throat,Skin Rash,Cough,COVID-19
Runny Nose,Diarrhea,Fever,Sweating,Loss of Appetite,Pneumonia
Cough,Swelling,Muscle Weakness,Sweating,Sore Throat,Dengue
Fever,Chills,Cough,Runny Nose,Diarrhea,Flu
Dizziness,Cough,Joint Pain,Muscle Weakness,Sweating,Cold
Body Pain,Skin Rash,Joint Pain,Shortness of Breath,Dizziness,Typhoid
Chest Pain,Sneezing,Runny Nose,Fever,High Fever,Tuberculosis
Swelling,Diarrhea,Abdominal Pain,Nausea,Body Pain,Malaria
Skin Rash,Cough,Chest Pain,Vomiting,Sore Throat,Chikungunya
Skin Rash,Shortness of Breath,Sweating,Swelling,Fatigue,Typhoid
Joint Pain,Muscle Weakness,Headache,Shortness of Breath,Chills,Malaria
Diarrhea,Chills,Fatigue,Loss of Appetite,Joint Pain,Tuberculosis
Joint Pain,Headache,Swelling,Dizziness,Body Pain,Bronchitis
High Fever,Fatigue,Joint Pain,Swelling,Cough,Flu
Skin Rash,Swelling,Abdominal Pain,Muscle Weakness,Shortness of Breath,Cold
Nausea,Muscle Weakness,Sneezing,Cough,Swelling,Allergy
Sweating,Nausea,Diarrhea,Muscle Weakness,Shortness of Breath,Dengue
Nausea,Diarrhea,Shortness of Breath,Joint Pain,Sweating,Pneumonia
Joint Pain,Swelling,Dizziness,Sneezing,Chills,Dengue
Dizziness,Muscle Weakness,Loss of Appetite,Sore Throat,Headache,Dengue
Runny Nose,Skin Rash,Cough,Chest Pain,Shortness of Breath,Allergy
Vomiting,Swelling,Dizziness,Chest Pain,Sore Throat,Malaria
Skin Rash,Chills,Headache,Fever,Chest Pain,Cold
Sneezing,Muscle Weakness,Shortness of Breath,Vomiting,Chest Pain,Cold
Swelling,Dizziness,Cough,Joint Pain,Shortness of Breath,Typhoid
Shortness of Breath,Nausea,Fatigue,Fever,Chest Pain,Food Poisoning
Swelling,Body Pain,Nausea,Shortness of Breath,Skin Rash,Tuberculosis
Swelling,Shortness of Breath,High Fever,Fever,Loss of Appetite,Tuberculosis
Runny Nose,Sweating,Joint Pain,High Fever,Nausea,Allergy
Muscle Weakness,Cough,Joint Pain,Runny Nose,Nausea,Food Poisoning
Headache,Swelling,Chills,Skin Rash,Muscle Weakness,Bronchitis
Fatigue,Fever,Body Pain,Vomiting,Muscle Weakness,Pneumonia
Abdominal Pain,Sneezing,Vomiting,Shortness of Breath,Fever,Chikungunya
High Fever,Diarrhea,Dizziness,Sore Throat,Cough,Asthma
Cough,Skin Rash,Shortness of Breath,High Fever,Sweating,Flu
Chest Pain,Abdominal Pain,Sore Throat,Fatigue,Skin Rash,Asthma
High Fever,Abdominal Pain,Loss of Appetite,Cough,Dizziness,Dengue
Shortness of Breath,Fever,Sneezing,Muscle Weakness,Sore Throat,Dengue
Sneezing,Loss of Appetite,High Fever,Skin Rash,Swelling,Flu
Shortness of Breath,Loss of Appetite,Sweating,Dizziness,Abdominal Pain,Dengue
Sneezing,Runny Nose,Fatigue,Cough,Swelling,Asthma
Abdominal Pain,Chest Pain,High Fever,Diarrhea,Runny Nose,Flu
Skin Rash,Sneezing,Muscle Weakness,Body Pain,Headache,Cold
Sore Throat,Muscle Weakness,Nausea,Skin Rash,Vomiting,Asthma
Fatigue,Sneezing,Swelling,Runny Nose,Cough,Cold
Chest Pain,Skin Rash,Fatigue,Nausea,Muscle Weakness,Flu
Diarrhea,Dizziness,Loss of Appetite,Chills,Joint Pain,Cold
Muscle Weakness,Chills,Skin Rash,Dizziness,Cough,Dengue
Joint Pain,Vomiting,Nausea,Sore Throat,Runny Nose,Cold
Chest Pain,Headache,Nausea,Abdominal Pain,Shortness of Breath,Flu
Diarrhea,Loss of Appetite,Sneezing,Joint Pain,Skin Rash,Typhoid
Chills,Fever,Swelling,Shortness of Breath,Joint Pain,Cold
Fever,Joint Pain,Vomiting,High Fever,Diarrhea,Malaria
Diarrhea,Muscle Weakness,Dizziness,Vomiting,Headache,Malaria
Vomiting,Body Pain,Sneezing,Muscle Weakness,Sore Throat,Allergy
Joint Pain,High Fever,Sweating,Abdominal Pain,Chest Pain,Pneumonia
Headache,Shortness of Breath,Dizziness,Chest Pain,Sweating,Tuberculosis
Shortness of Breath,Abdominal Pain,Loss of Appetite,Cough,Fever,Dengue
Sore Throat,Loss of Appetite,Fatigue,Shortness of Breath,Vomiting,Pneumonia
Dizziness,Abdominal Pain,Skin Rash,Shortness of Breath,Loss of Appetite,Food Poisoning
High Fever,Diarrhea,Sweating,Chills,Fatigue,Dengue
Skin Rash,Chills,Shortness of Breath,Fatigue,Swelling,Pneumonia
Chest Pain,Abdominal Pain,Headache,Sweating,Shortness of Breath,Chikungunya
Shortness of Breath,Nausea,Sweating,Loss of Appetite,Chills,Flu
Diarrhea,Sore Throat,Cough,Loss of Appetite,Muscle Weakness,Pneumonia
Sneezing,Abdominal Pain,Vomiting,Nausea,Runny Nose,Cold
Skin Rash,High Fever,Nausea,Fever,Muscle Weakness,Typhoid
Joint Pain,Dizziness,Diarrhea,Fatigue,Fever,Dengue
Abdominal Pain,Sneezing,Runny Nose,Chills,Sore Throat,Allergy
Muscle Weakness,Diarrhea,Skin Rash,High Fever,Joint Pain,Food Poisoning
Runny Nose,Swelling,Loss of Appetite,Body Pain,High Fever,Tuberculosis
Diarrhea,Cough,Loss of Appetite,Nausea,Vomiting,Bronchitis
Skin Rash,High Fever,Chest Pain,Cough,Dizziness,Tuberculosis
Chest Pain,Sore Throat,High Fever,Chills,Headache,Food Poisoning
Dizziness,Cough,Headache,Swelling,Chest Pain,Allergy
Chills,Muscle Weakness,Vomiting,Headache,Swelling,Pneumonia
Muscle Weakness,Nausea,Sore Throat,Headache,Joint Pain,Chikungunya
Body Pain,Cough,Muscle Weakness,Runny Nose,Sore Throat,Dengue
Dizziness,Muscle Weakness,Loss of Appetite,Fever,Fatigue,Typhoid
Fatigue,Chills,Runny Nose,Cough,Headache,Bronchitis
Nausea,Sneezing,Swelling,Fatigue,Headache,Food Poisoning
Body Pain,Runny Nose,Sweating,Dizziness,Chills,Flu
Chest Pain,Dizziness,Chills,Headache,Abdominal Pain,Pneumonia
Cough,Abdominal Pain,Sneezing,Sweating,Swelling,Typhoid
Vomiting,Muscle Weakness,Body Pain,Swelling,High Fever,Cold
High Fever,Loss of Appetite,Nausea,Vomiting,Fever,Tuberculosis
Headache,Fever,Cough,Sweating,Diarrhea,Asthma
Fever,Nausea,Skin Rash,Muscle Weakness,Fatigue,COVID-19
Muscle Weakness,Dizziness,Fever,Vomiting,Sweating,Tuberculosis
Sore Throat,Chest Pain,Sneezing,Dizziness,Muscle Weakness,COVID-19
Fatigue,Body Pain,Abdominal Pain,Skin Rash,Loss of Appetite,Bronchitis
Chills,Fatigue,Loss of Appetite,Vomiting,Sweating,Flu
High Fever,Swelling,Shortness of Breath,Headache,Diarrhea,Flu
Diarrhea,Joint Pain,Sore Throat,Swelling,Runny Nose,Dengue
Loss of Appetite,Fever,Shortness of Breath,Sore Throat,Sweating,Tuberculosis
Runny Nose,Sore Throat,Diarrhea,Fatigue,Fever,Tuberculosis
High Fever,Skin Rash,Headache,Vomiting,Fever,Asthma
Fever,Chest Pain,Sweating,Fatigue,Cough,Flu
Abdominal Pain,Runny Nose,Fever,Cough,Sweating,Bronchitis
Cough,Chills,Headache,Loss of Appetite,Chest Pain,COVID-19
Skin Rash,Body Pain,Fatigue,Joint Pain,Chest Pain,Cold
Sneezing,Dizziness,Body Pain,Fatigue,Nausea,Cold
Fatigue,Sneezing,Vomiting,Diarrhea,Joint Pain,Dengue
Sneezing,Muscle Weakness,Chills,Loss of Appetite,Chest Pain,Cold
Fever,Sweating,Headache,Cough,Runny Nose,Tuberculosis
Sneezing,Fatigue,Sweating,Vomiting,High Fever,Asthma
Muscle Weakness,Body Pain,Fever,Chills,Fatigue,Pneumonia
Sneezing,Sweating,Loss of Appetite,Nausea,Diarrhea,Bronchitis
High Fever,Nausea,Fever,Muscle Weakness,Shortness of Breath,Tuberculosis
Dizziness,Sore Throat,Chest Pain,Body Pain,Headache,Typhoid
High Fever,Body Pain,Loss of Appetite,Abdominal Pain,Cough,Cold
Sneezing,Cough,Sore Throat,Skin Rash,Joint Pain,Dengue
Headache,Fatigue,Sneezing,Vomiting,Joint Pain,Malaria
Cough,Skin Rash,Sweating,Joint Pain,Runny Nose,Tuberculosis
Nausea,Shortness of Breath,Loss of Appetite,Fever,Swelling,Tuberculosis
Abdominal Pain,Sweating,Runny Nose,Body Pain,Headache,Pneumonia
Vomiting,Skin Rash,Body Pain,Swelling,Sweating,COVID-19
Runny Nose,Body Pain,Fatigue,Loss of Appetite,High Fever,Pneumonia
Swelling,Vomiting,Dizziness,Headache,Diarrhea,Malaria
Muscle Weakness,Loss of Appetite,Abdominal Pain,Dizziness,Diarrhea,Flu
High Fever,Muscle Weakness,Sweating,Abdominal Pain,Shortness of Breath,Cold
Sneezing,Chest Pain,Loss of Appetite,Sore Throat,Dizziness,COVID-19
Muscle Weakness,Headache,Abdominal Pain,Vomiting,Sweating,Typhoid
Skin Rash,Body Pain,Abdominal Pain,Diarrhea,Joint Pain,Allergy
Skin Rash,Joint Pain,Abdominal Pain,Headache,Sneezing,Food Poisoning
Dizziness,Chills,Sore Throat,Diarrhea,Runny Nose,Asthma
Fatigue,Cough,Shortness of Breath,High Fever,Runny Nose,COVID-19
Abdominal Pain,High Fever,Muscle Weakness,Vomiting,Joint Pain,COVID-19
Muscle Weakness,Joint Pain,Runny Nose,Chest Pain,Headache,Flu
Runny Nose,Cough,Chills,Sneezing,Swelling,Typhoid
Shortness of Breath,Skin Rash,Fatigue,Chest Pain,Chills,Bronchitis
Cough,Muscle Weakness,Chills,Runny Nose,Diarrhea,Cold
Dizziness,Chills,Swelling,Vomiting,High Fever,Pneumonia
High Fever,Sneezing,Chest Pain,Fatigue,Shortness of Breath,Typhoid
Cough,Swelling,Sneezing,Body Pain,Fever,Malaria
Shortness of Breath,Diarrhea,Skin Rash,High Fever,Body Pain,Cold
Shortness of Breath,Nausea,Headache,High Fever,Fatigue,Dengue
Vomiting,High Fever,Fatigue,Headache,Runny Nose,Flu
Sneezing,Dizziness,Runny Nose,Fatigue,Chills,Malaria
Cough,Vomiting,Chills,Loss of Appetite,Body Pain,Tuberculosis
Body Pain,Sneezing,High Fever,Swelling,Sweating,Tuberculosis
Cough,Abdominal Pain,Runny Nose,Fatigue,Diarrhea,Chikungunya
Fatigue,Shortness of Breath,Body Pain,Sore Throat,Chest Pain,Tuberculosis
Swelling,Shortness of Breath,Fatigue,Joint Pain,Headache,Flu
Dizziness,Cough,Muscle Weakness,Runny Nose,Abdominal Pain,Tuberculosis
Loss of Appetite,Sore Throat,High Fever,Abdominal Pain,Nausea,Allergy
Abdominal Pain,Headache,Shortness of Breath,High Fever,Loss of Appetite,Asthma
Loss of Appetite,Chest Pain,Body Pain,Diarrhea,Nausea,Malaria
Muscle Weakness,Chest Pain,Abdominal Pain,Sweating,Shortness of Breath,Pneumonia
Sore Throat,Fever,Joint Pain,Body Pain,High Fever,Flu
Sneezing,Fever,Chest Pain,Diarrhea,Muscle Weakness,Asthma
Shortness of Breath,Sore Throat,Headache,Nausea,Chills,Asthma
Headache,High Fever,Nausea,Fever,Joint Pain,Flu
Skin Rash,Abdominal Pain,Nausea,Runny Nose,High Fever,Pneumonia
Fever,Abdominal Pain,Cough,Nausea,Fatigue,Allergy
Dizziness,Headache,Swelling,Skin Rash,Muscle Weakness,COVID-19
Sore Throat,Diarrhea,Swelling,Nausea,Loss of Appetite,COVID-19
Shortness of Breath,Diarrhea,Chills,Dizziness,Body Pain,Allergy
Nausea,Abdominal Pain,Swelling,Sore Throat,Dizziness,Bronchitis
Sweating,Runny Nose,Cough,Shortness of Breath,Nausea,Tuberculosis
Fatigue,Loss of Appetite,Nausea,Shortness of Breath,Joint Pain,Dengue
Dizziness,Loss of Appetite,Sneezing,Skin Rash,Shortness of Breath,Typhoid
Abdominal Pain,Sweating,Vomiting,Fever,Sneezing,Tuberculosis
Body Pain,Sore Throat,Diarrhea,Joint Pain,Abdominal Pain,Pneumonia
Runny Nose,Nausea,Loss of Appetite,Body Pain,Fever,Flu
Joint Pain,Fatigue,Chills,Sneezing,Headache,Cold
Cough,Fever,Vomiting,Sore Throat,Shortness of Breath,Typhoid
Shortness of Breath,Chest Pain,Sweating,Muscle Weakness,Headache,Bronchitis
Body Pain,Vomiting,Abdominal Pain,Nausea,Loss of Appetite,Chikungunya
Vomiting,Dizziness,Loss of Appetite,Shortness of Breath,Skin Rash,Typhoid
Abdominal Pain,Sweating,Diarrhea,High Fever,Runny Nose,Cold
Body Pain,Skin Rash,Sore Throat,Fever,Loss of Appetite,Chikungunya
Fatigue,Body Pain,Sneezing,Diarrhea,Skin Rash,COVID-19
Dizziness,Vomiting,Diarrhea,Loss of Appetite,High Fever,COVID-19
Runny Nose,Diarrhea,Nausea,Abdominal Pain,Cough,Allergy
Fatigue,Headache,Fever,Sore Throat,Chills,Typhoid
Joint Pain,Body Pain,Swelling,Abdominal Pain,Sneezing,Typhoid
Sweating,Vomiting,Diarrhea,High Fever,Fever,Flu
Sweating,Nausea,Shortness of Breath,Cough,Loss of Appetite,Chikungunya
Shortness of Breath,Sore Throat,Fever,Runny Nose,Sweating,Typhoid
Abdominal Pain,Vomiting,Shortness of Breath,Fatigue,Sneezing,Pneumonia
Dizziness,Fatigue,Swelling,Loss of Appetite,Chest Pain,Allergy
Sore Throat,Loss of Appetite,Sweating,Dizziness,Muscle Weakness,Pneumonia
Sneezing,Chills,Body Pain,Diarrhea,Sweating,Dengue
Muscle Weakness,Chills,Sore Throat,Skin Rash,Runny Nose,Dengue
Loss of Appetite,Body Pain,Diarrhea,Sore Throat,Runny Nose,Pneumonia
Chills,Cough,Sneezing,Joint Pain,Fever,Pneumonia
Joint Pain,Headache,Dizziness,Cough,Abdominal Pain,Malaria
Skin Rash,Diarrhea,Sweating,Loss of Appetite,Joint Pain,Asthma
Sore Throat,Fatigue,Muscle Weakness,Chills,Dizziness,Malaria
Runny Nose,Sneezing,Diarrhea,Fatigue,Swelling,Malaria
Headache,Fatigue,Abdominal Pain,Body Pain,High Fever,Malaria
Sore Throat,Nausea,Body Pain,Sneezing,Diarrhea,Allergy
Swelling,Abdominal Pain,Headache,Sneezing,Muscle Weakness,Bronchitis
High Fever,Runny Nose,Diarrhea,Dizziness,Abdominal Pain,Tuberculosis
Chills,Nausea,Loss of Appetite,Diarrhea,Sore Throat,COVID-19
Vomiting,Shortness of Breath,Swelling,High Fever,Dizziness,Allergy
Headache,Skin Rash,Swelling,Runny Nose,Vomiting,Food Poisoning
Body Pain,Skin Rash,Cough,Muscle Weakness,High Fever,Chikungunya
Sneezing,Muscle Weakness,Runny Nose,Vomiting,Chest Pain,Flu
Muscle Weakness,Runny Nose,Joint Pain,Body Pain,Abdominal Pain,Allergy
Cough,Sweating,Nausea,Dizziness,Runny Nose,Asthma
Joint Pain,Sweating,Loss of Appetite,Muscle Weakness,Skin Rash,COVID-19
Cough,Body Pain,Loss of Appetite,Sneezing,Sweating,Chikungunya
Headache,Sore Throat,Diarrhea,Swelling,Sweating,Typhoid
Headache,High Fever,Vomiting,Swelling,Cough,Chikungunya
Fever,Abdominal Pain,Loss of Appetite,Nausea,Sore Throat,Flu
Runny Nose,Swelling,Chills,Cough,Loss of Appetite,Malaria
Skin Rash,Loss of Appetite,Vomiting,Fever,High Fever,Bronchitis
Fatigue,High Fever,Muscle Weakness,Diarrhea,Fever,Allergy
Sore Throat,Loss of Appetite,Joint Pain,Runny Nose,Nausea,Cold
Nausea,High Fever,Loss of Appetite,Diarrhea,Sweating,Typhoid
Fatigue,High Fever,Sore Throat,Body Pain,Joint Pain,Food Poisoning
Skin Rash,Muscle Weakness,Body Pain,Sore Throat,Cough,COVID-19
Nausea,Dizziness,Headache,Diarrhea,Sore Throat,COVID-19
Joint Pain,Sweating,Abdominal Pain,Loss of Appetite,Cough,Food Poisoning
Cough,Body Pain,Nausea,Runny Nose,Fever,Allergy
Runny Nose,Sweating,Sore Throat,Muscle Weakness,Fever,Bronchitis
High Fever,Abdominal Pain,Nausea,Fatigue,Runny Nose,Chikungunya
Loss of Appetite,Chest Pain,Vomiting,Muscle Weakness,Cough,Bronchitis
Dizziness,Muscle Weakness,Sneezing,Fever,Sweating,COVID-19
Sore Throat,Swelling,Chills,Cough,Dizziness,Flu
Skin Rash,Headache,Chest Pain,Diarrhea,Abdominal Pain,Chikungunya
Muscle Weakness,Runny Nose,Sweating,High Fever,Abdominal Pain,Asthma
Cough,Headache,Chills,Shortness of Breath,Chest Pain,Typhoid
Fatigue,Shortness of Breath,Abdominal Pain,Cough,Vomiting,Chikungunya
Chills,Sneezing,Shortness of Breath,Fatigue,Fever,COVID-19
