Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease,AnimalName
Confusion,Chest pain,High fever,Shortness of breath,Fatigue,Pneumonia,Dog
Headache,Fatigue,Weakness,Prolonged high fever,Rose-colored spots,Typhoid,Deer
Runny nose,Itchy eyes,Skin rash,Swelling,Sneezing,Allergy,Goat
Sneezing,Runny nose,Swelling,Skin rash,Itchy eyes,Allergy,Horse
Prolonged high fever,Headache,Weakness,Diarrhea,Fatigue,Typhoid,Cow
High fever with chills,Sweating,Jaundice,Muscle pain,Headache,Malaria,Cow
Sweating,Anemia,Fatigue,Jaundice,Vomiting,Malaria,Fowl
Constipation,Prolonged high fever,Weakness,Headache,Rose-colored spots,Typhoid,Hyaenas
Weight loss,Fatigue,Loss of appetite,Fever (evening),Night sweats,Tuberculosis,Tiger
Mild cough,Mild fatigue,Sneezing,Runny nose,Mild fever,Cold,Hamster
Persistent cough with mucus,Chills,Chest discomfort,Fatigue,Mild fever,Bronchitis,Birds
Sore throat,Shortness of breath,Fever,Fatigue,Loss of taste or smell,COVID-19,Hamster
Chest tightness,Coughing,Shortness of breath,Wheezing,None,Asthma,Snake
Sudden high fever,Fatigue,Rash,Severe headache,Mild bleeding,Dengue,Pig
Itchy eyes,Sneezing,Skin rash,Swelling,Runny nose,Allergy,Fox
Runny nose,Mild fever,Sore throat,Mild fatigue,Sneezing,Cold,Horse
Fatigue,Rash,Muscle and joint pain,Mild bleeding,Sudden high fever,Dengue,Lion
Headache,Rose-colored spots,Constipation,Abdominal pain,Prolonged high fever,Typhoid,Lion
Wheezing,Shortness of breath,Chest tightness,Coughing,None,Asthma,Chicken
Persistent cough,Loss of appetite,Blood in cough,Weight loss,Fatigue,Tuberculosis,Horse
Mild fever,Chills,Fatigue,Wheezing,Persistent cough with mucus,Bronchitis,Rabbit
Mild fever,Persistent cough with mucus,Chest discomfort,Wheezing,Fatigue,Bronchitis,Fox
Persistent cough with mucus,Fatigue,Mild fever,Chills,Wheezing,Bronchitis,Sheep
Runny nose,Skin rash,Itchy eyes,Swelling,Sneezing,Allergy,Tiger
Itchy eyes,Runny nose,Swelling,Sneezing,Skin rash,Allergy,Deer
Wheezing,Chest tightness,Coughing,Shortness of breath,None,Asthma,Tiger
Loss of appetite,Fatigue,Fever (evening),Persistent cough,Weight loss,Tuberculosis,Rabbit
Prolonged high fever,Rose-colored spots,Constipation,Headache,Abdominal pain,Typhoid,Birds
Chest pain,Fatigue,Shortness of breath,High fever,Confusion,Pneumonia,Chicken
Abdominal pain,Fatigue,Constipation,Prolonged high fever,Weakness,Typhoid,Duck
High fever with chills,Headache,Sweating,Vomiting,Nausea,Malaria,Goat
Sneezing,Mild fatigue,Sore throat,Runny nose,Mild cough,Cold,Cat
Headache,High fever,Severe joint pain,Rash,Nausea,Chikungunya,Monkey
Headache,Nausea,Vomiting,High fever with chills,Muscle pain,Malaria,Mammal
Nausea,Fatigue,Dry cough,Shortness of breath,Diarrhea,COVID-19,Snake
Cough with phlegm,Confusion,Shortness of breath,Fatigue,High fever,Pneumonia,Snake
Fever (evening),Blood in cough,Persistent cough,Loss of appetite,Weight loss,Tuberculosis,Dog
High fever,Headache,Nausea,Muscle pain,Severe joint pain,Chikungunya,Fowl
Skin rash,Sneezing,Swelling,Runny nose,Itchy eyes,Allergy,Hyaenas
Stomach cramps,Vomiting,Nausea,Fever,Bloody diarrhea,Food Poisoning,Deer
Chest pain,Confusion,Chills,Fatigue,Shortness of breath,Pneumonia,Fox
Blood in cough,Fatigue,Fever (evening),Loss of appetite,Weight loss,Tuberculosis,Hamster
Nausea,Stomach cramps,Weakness,Bloody diarrhea,Diarrhea,Food Poisoning,Cat
Dry Cough,Sore throat,Diarrhea,Chills,Headache,Flu,Lion
Mild fever,Runny nose,Mild fatigue,Sore throat,Mild cough,Cold,Donkey
Confusion,Cough with phlegm,Shortness of breath,Chest pain,High fever,Pneumonia,Snake
Wheezing,Chest tightness,Coughing,Shortness of breath,None,Asthma,Turtle
Abdominal pain,Weakness,Constipation,Rose-colored spots,Prolonged high fever,Typhoid,Monkey
Wheezing,Chest tightness,Coughing,Shortness of breath,None,Asthma,Goat
Swelling,Itchy eyes,Sneezing,Runny nose,Skin rash,Allergy,Cat
Runny nose,Sore throat,Dry Cough,Fatigue,Chills,Flu,Pig
High fever with chills,Anemia,Fatigue,Vomiting,Jaundice,Malaria,Cattle
Loss of taste or smell,Diarrhea,Congestion,Muscle aches,Nausea,COVID-19,Lion
Congestion,Chills,Fatigue,Diarrhea,Nausea,COVID-19,Fowl
Swelling,Skin rash,Itchy eyes,Sneezing,Runny nose,Allergy,Lion
Diarrhea,Dry Cough,Chills,Sore throat,Runny nose,Flu,Hyaenas
Mild fever,Mild fatigue,Runny nose,Sneezing,Sore throat,Cold,Moos
Coughing,Wheezing,Shortness of breath,Chest tightness,None,Asthma,Tiger
Nausea,Headache,Muscle pain,High fever with chills,Anemia,Malaria,Cow
Anemia,High fever with chills,Nausea,Vomiting,Sweating,Malaria,Moos
Vomiting,Nausea,Anemia,Muscle pain,Sweating,Malaria,Wolves
Mild fever,Sore throat,Runny nose,Mild cough,Mild fatigue,Cold,Rabbit
Fatigue,Chills,Persistent cough with mucus,Chest discomfort,Mild fever,Bronchitis,Elephant
Jaundice,Anemia,Muscle pain,Vomiting,Fatigue,Malaria,Duck
Mild cough,Mild fatigue,Sneezing,Mild fever,Runny nose,Cold,Turtle
Vomiting,Fever,Headache,Dry Cough,Muscle or body aches,Flu,Elephant
Itchy eyes,Runny nose,Swelling,Sneezing,Skin rash,Allergy,Fowl
Headache,Fatigue,Rose-colored spots,Abdominal pain,Diarrhea,Typhoid,Fowl
Persistent cough with mucus,Wheezing,Fatigue,Chest discomfort,Mild fever,Bronchitis,Wolves
Loss of appetite,Weight loss,Blood in cough,Fever (evening),Fatigue,Tuberculosis,Lion
Persistent cough with mucus,Chest discomfort,Chills,Wheezing,Fatigue,Bronchitis,Moos
Mild fever,Chest discomfort,Persistent cough with mucus,Chills,Wheezing,Bronchitis,Snake
Fever (evening),Blood in cough,Night sweats,Persistent cough,Loss of appetite,Tuberculosis,Elephant
Fatigue,Jaundice,Anemia,Vomiting,Muscle pain,Malaria,Goat
Skin rash,Itchy eyes,Sneezing,Runny nose,Swelling,Allergy,Fox
Fever,Bloody diarrhea,Vomiting,Dehydration,Nausea,Food Poisoning,Snake
Fever,Weakness,Vomiting,Nausea,Diarrhea,Food Poisoning,Lion
Nausea,Dehydration,Weakness,Vomiting,Bloody diarrhea,Food Poisoning,Monkey
Sudden high fever,Fatigue,Dengue Hemorrhagic Fever,Pain behind the eyes,Mild bleeding,Dengue,Cat
Fatigue,Chills,Mild fever,Chest discomfort,Persistent cough with mucus,Bronchitis,Tiger
Chills,Chest pain,Confusion,High fever,Shortness of breath,Pneumonia,Dog
Muscle aches,Diarrhea,Chills,Dry cough,Congestion,COVID-19,Monkey
Runny nose,Mild fever,Sore throat,Mild cough,Sneezing,Cold,Hyaenas
Chills,Fatigue,Sore throat,Diarrhea,Runny nose,Flu,Moos
Fever (evening),Persistent cough,Fatigue,Weight loss,Blood in cough,Tuberculosis,Lion
Mild cough,Sneezing,Sore throat,Mild fever,Mild fatigue,Cold,Monkey
Chills,Fatigue,Wheezing,Mild fever,Chest discomfort,Bronchitis,Moos
Fatigue,Headache,Nausea,Jaundice,Muscle pain,Malaria,Moos
Nausea,Anemia,Headache,Fatigue,Jaundice,Malaria,Fox
High fever with chills,Fatigue,Muscle pain,Headache,Nausea,Malaria,Chicken
Chills,Sore throat,Fever,Congestion,Shortness of breath,COVID-19,Sheep
Sneezing,Swelling,Runny nose,Itchy eyes,Skin rash,Allergy,Cattle
Nausea,Sweating,High fever with chills,Jaundice,Headache,Malaria,Pig
Fever,Runny nose,Chills,Muscle or body aches,Dry Cough,Flu,Cat
Dehydration,Vomiting,Bloody diarrhea,Diarrhea,Stomach cramps,Food Poisoning,Chicken
Runny nose,Itchy eyes,Swelling,Skin rash,Sneezing,Allergy,Hyaenas
Fatigue,High fever,Rash,Muscle pain,Headache,Chikungunya,Lion
Shortness of breath,Chest tightness,Wheezing,Coughing,None,Asthma,Fox
Vomiting,Anemia,Jaundice,Fatigue,High fever with chills,Malaria,Chicken
Sudden high fever,Muscle and joint pain,Severe headache,Rash,Fatigue,Dengue,Duck
Vomiting,Diarrhea,Bloody diarrhea,Nausea,Dehydration,Food Poisoning,Fox
Loss of appetite,Persistent cough,Fever (evening),Blood in cough,Night sweats,Tuberculosis,Snake
Prolonged high fever,Constipation,Diarrhea,Abdominal pain,Fatigue,Typhoid,Cat
Fever,Vomiting,Weakness,Nausea,Dehydration,Food Poisoning,Cow
Shortness of breath,Chest pain,Fatigue,High fever,Confusion,Pneumonia,Hamster
Muscle pain,Severe joint pain,High fever,Rash,Headache,Chikungunya,Fox
Runny nose,Diarrhea,Chills,Muscle or body aches,Sore throat,Flu,Dog
Weakness,Bloody diarrhea,Stomach cramps,Vomiting,Diarrhea,Food Poisoning,Monkey
Weakness,Vomiting,Bloody diarrhea,Stomach cramps,Nausea,Food Poisoning,Sheep
Itchy eyes,Sneezing,Swelling,Skin rash,Runny nose,Allergy,Lion
Stomach cramps,Weakness,Vomiting,Bloody diarrhea,Dehydration,Food Poisoning,Duck
Pain behind the eyes,Dengue Hemorrhagic Fever,Fatigue,Severe headache,Muscle and joint pain,Dengue,Donkey
Headache,Abdominal pain,Rose-colored spots,Fatigue,Constipation,Typhoid,Hyaenas
Fatigue,Sudden high fever,Mild bleeding,Rash,Muscle and joint pain,Dengue,Buffaloes
Coughing,Wheezing,Chest tightness,Shortness of breath,None,Asthma,Snake
Cough with phlegm,Chills,Confusion,Shortness of breath,Chest pain,Pneumonia,Tiger
Weakness,Rose-colored spots,Abdominal pain,Headache,Fatigue,Typhoid,Lion
Fever,Diarrhea,Dehydration,Vomiting,Weakness,Food Poisoning,Hyaenas
Headache,Muscle pain,High fever,Rash,Fatigue,Chikungunya,Tiger
Rash,Severe headache,Dengue Hemorrhagic Fever,Muscle and joint pain,Mild bleeding,Dengue,Tiger
Headache,Fever,Sore throat,Vomiting,Fatigue,Flu,Hamster
Muscle or body aches,Dry Cough,Diarrhea,Sore throat,Fatigue,Flu,Birds
Rose-colored spots,Weakness,Abdominal pain,Constipation,Diarrhea,Typhoid,Chicken
Muscle pain,Headache,Sweating,High fever with chills,Vomiting,Malaria,Moos
Mild fever,Wheezing,Chills,Fatigue,Persistent cough with mucus,Bronchitis,Deer
Itchy eyes,Sneezing,Runny nose,Swelling,Skin rash,Allergy,Fox
Persistent cough,Night sweats,Weight loss,Fatigue,Fever (evening),Tuberculosis,Tiger
Fatigue,Chills,Muscle aches,Dry cough,Loss of taste or smell,COVID-19,Duck
Chest discomfort,Chills,Wheezing,Fatigue,Mild fever,Bronchitis,Turtle
Persistent cough with mucus,Mild fever,Chest discomfort,Wheezing,Chills,Bronchitis,Rabbit
Swelling,Itchy eyes,Runny nose,Sneezing,Skin rash,Allergy,Birds
Fatigue,Confusion,High fever,Shortness of breath,Chills,Pneumonia,Horse
High fever,Chills,Fatigue,Confusion,Cough with phlegm,Pneumonia,Elephant
Chest tightness,Coughing,Wheezing,Shortness of breath,None,Asthma,Chicken
Vomiting,Headache,Chills,Diarrhea,Runny nose,Flu,Monkey
Constipation,Abdominal pain,Weakness,Headache,Rose-colored spots,Typhoid,Moos
Mild fatigue,Runny nose,Sneezing,Mild cough,Sore throat,Cold,Wolves
Nausea,Vomiting,Weakness,Stomach cramps,Diarrhea,Food Poisoning,Sheep
Dengue Hemorrhagic Fever,Sudden high fever,Severe headache,Pain behind the eyes,Muscle and joint pain,Dengue,Buffaloes
Loss of taste or smell,Dry cough,Diarrhea,Fatigue,Sore throat,COVID-19,Donkey
High fever,Shortness of breath,Chills,Confusion,Fatigue,Pneumonia,Cattle
Night sweats,Fatigue,Fever (evening),Blood in cough,Weight loss,Tuberculosis,Buffaloes
Skin rash,Sneezing,Itchy eyes,Swelling,Runny nose,Allergy,Wolves
Confusion,Chest pain,Fatigue,Shortness of breath,Cough with phlegm,Pneumonia,Chicken
Weakness,Prolonged high fever,Fatigue,Headache,Diarrhea,Typhoid,Hyaenas
Headache,Vomiting,Runny nose,Sore throat,Fatigue,Flu,Moos
Sudden high fever,Dengue Hemorrhagic Fever,Rash,Severe headache,Muscle and joint pain,Dengue,Sheep
Blood in cough,Fatigue,Weight loss,Fever (evening),Persistent cough,Tuberculosis,Moos
Fatigue,Confusion,High fever,Chills,Chest pain,Pneumonia,Mammal
Chest discomfort,Chills,Mild fever,Persistent cough with mucus,Wheezing,Bronchitis,Goat
Stomach cramps,Diarrhea,Weakness,Fever,Bloody diarrhea,Food Poisoning,Turtle
Fatigue,Wheezing,Persistent cough with mucus,Chest discomfort,Chills,Bronchitis,Cat
Swelling,Sneezing,Skin rash,Itchy eyes,Runny nose,Allergy,Goat
Fatigue,Wheezing,Chills,Persistent cough with mucus,Chest discomfort,Bronchitis,Turtle
Diarrhea,Sore throat,Headache,Vomiting,Muscle or body aches,Flu,Birds
Night sweats,Blood in cough,Weight loss,Fever (evening),Fatigue,Tuberculosis,Mammal
Persistent cough with mucus,Mild fever,Chest discomfort,Wheezing,Chills,Bronchitis,Deer
Constipation,Diarrhea,Rose-colored spots,Weakness,Fatigue,Typhoid,Hamster
Wheezing,Coughing,Chest tightness,Shortness of breath,None,Asthma,Deer
Chills,Diarrhea,Dry cough,Sore throat,Congestion,COVID-19,Deer
Chest discomfort,Wheezing,Persistent cough with mucus,Chills,Fatigue,Bronchitis,Elephant
Muscle or body aches,Fever,Diarrhea,Headache,Runny nose,Flu,Sheep
Fatigue,Dry cough,Shortness of breath,Chills,Loss of taste or smell,COVID-19,Turtle
Chest tightness,Coughing,Shortness of breath,Wheezing,None,Asthma,Dog
Nausea,Muscle pain,Headache,Fatigue,Vomiting,Malaria,Donkey
Stomach cramps,Weakness,Dehydration,Bloody diarrhea,Fever,Food Poisoning,Tiger
Fatigue,Wheezing,Chest discomfort,Chills,Persistent cough with mucus,Bronchitis,Sheep
Severe joint pain,Fatigue,Rash,High fever,Muscle pain,Chikungunya,Sheep
Fatigue,Pain behind the eyes,Sudden high fever,Severe headache,Muscle and joint pain,Dengue,Moos
High fever with chills,Jaundice,Sweating,Vomiting,Nausea,Malaria,Hamster
Severe joint pain,High fever,Rash,Fatigue,Muscle pain,Chikungunya,Sheep
Muscle or body aches,Runny nose,Fever,Fatigue,Headache,Flu,Wolves
Chills,Vomiting,Fever,Runny nose,Muscle or body aches,Flu,Cattle
Headache,Diarrhea,Weakness,Prolonged high fever,Abdominal pain,Typhoid,Dog
Mild bleeding,Pain behind the eyes,Rash,Fatigue,Muscle and joint pain,Dengue,Mammal
Rash,Mild bleeding,Pain behind the eyes,Muscle and joint pain,Fatigue,Dengue,Cow
Itchy eyes,Runny nose,Skin rash,Swelling,Sneezing,Allergy,Wolves
Pain behind the eyes,Fatigue,Muscle and joint pain,Severe headache,Mild bleeding,Dengue,Donkey
High fever,Cough with phlegm,Shortness of breath,Fatigue,Confusion,Pneumonia,Rabbit
Fatigue,High fever,Headache,Muscle pain,Rash,Chikungunya,Fowl
Fatigue,Muscle or body aches,Vomiting,Dry Cough,Chills,Flu,Sheep
Muscle pain,Nausea,Fatigue,Sweating,Vomiting,Malaria,Cow
Coughing,Wheezing,Shortness of breath,Chest tightness,None,Asthma,Dog
High fever with chills,Fatigue,Headache,Anemia,Nausea,Malaria,Rabbit
Fatigue,Prolonged high fever,Rose-colored spots,Abdominal pain,Constipation,Typhoid,Mammal
Fatigue,Congestion,Muscle aches,Diarrhea,Chills,COVID-19,Turtle
Skin rash,Runny nose,Itchy eyes,Swelling,Sneezing,Allergy,Buffaloes
Sneezing,Skin rash,Swelling,Runny nose,Itchy eyes,Allergy,Lion
Shortness of breath,Loss of taste or smell,Muscle aches,Diarrhea,Sore throat,COVID-19,Monkey
Fatigue,Sweating,Nausea,Jaundice,High fever with chills,Malaria,Donkey
Fatigue,Shortness of breath,High fever,Cough with phlegm,Chills,Pneumonia,Cow
Chest tightness,Coughing,Wheezing,Shortness of breath,None,Asthma,Fox
Dry cough,Fever,Diarrhea,Loss of taste or smell,Shortness of breath,COVID-19,Goat
Anemia,Fatigue,Headache,High fever with chills,Jaundice,Malaria,Cow
Vomiting,Runny nose,Muscle or body aches,Diarrhea,Chills,Flu,Lion
Runny nose,Mild fatigue,Mild fever,Sneezing,Mild cough,Cold,Tiger
Runny nose,Dry Cough,Headache,Fever,Vomiting,Flu,Birds
Confusion,High fever,Cough with phlegm,Chest pain,Fatigue,Pneumonia,Turtle
Bloody diarrhea,Vomiting,Stomach cramps,Nausea,Fever,Food Poisoning,Deer
Sneezing,Runny nose,Mild fever,Sore throat,Mild cough,Cold,Wolves
Sore throat,Headache,Muscle or body aches,Vomiting,Chills,Flu,Cattle
Runny nose,Itchy eyes,Skin rash,Swelling,Sneezing,Allergy,Buffaloes
Swelling,Sneezing,Runny nose,Itchy eyes,Skin rash,Allergy,Lion
Skin rash,Swelling,Itchy eyes,Runny nose,Sneezing,Allergy,Goat
Headache,High fever,Fatigue,Muscle pain,Rash,Chikungunya,Donkey
Sore throat,Shortness of breath,Congestion,Fatigue,Loss of taste or smell,COVID-19,Cattle
Fever,Diarrhea,Runny nose,Chills,Sore throat,Flu,Duck
Mild cough,Mild fever,Mild fatigue,Runny nose,Sneezing,Cold,Dog
Fatigue,Chills,Wheezing,Persistent cough with mucus,Chest discomfort,Bronchitis,Horse
Weakness,Stomach cramps,Dehydration,Bloody diarrhea,Fever,Food Poisoning,Birds
Sore throat,Runny nose,Mild cough,Sneezing,Mild fever,Cold,Moos
Fatigue,Nausea,Jaundice,Anemia,Muscle pain,Malaria,Mammal
Nausea,Diarrhea,Fatigue,Loss of taste or smell,Muscle aches,COVID-19,Snake
Night sweats,Weight loss,Loss of appetite,Fatigue,Persistent cough,Tuberculosis,Hamster
Severe joint pain,Fatigue,Nausea,Rash,High fever,Chikungunya,Snake
Shortness of breath,Chills,Cough with phlegm,High fever,Confusion,Pneumonia,Wolves
Runny nose,Itchy eyes,Sneezing,Skin rash,Swelling,Allergy,Dog
Headache,Fever,Fatigue,Sore throat,Dry Cough,Flu,Horse
Sweating,Nausea,Jaundice,Muscle pain,Anemia,Malaria,Buffaloes
Diarrhea,Chills,Congestion,Loss of taste or smell,Fatigue,COVID-19,Hamster
Mild cough,Mild fever,Sore throat,Sneezing,Mild fatigue,Cold,Duck
Wheezing,Coughing,Chest tightness,Shortness of breath,None,Asthma,Duck
Shortness of breath,Confusion,Fatigue,Chills,Cough with phlegm,Pneumonia,Cattle
Chills,Fatigue,Shortness of breath,High fever,Chest pain,Pneumonia,Sheep
Sweating,Headache,Vomiting,Muscle pain,Fatigue,Malaria,Wolves
Chills,Dry cough,Diarrhea,Sore throat,Fever,COVID-19,Lion
Sore throat,Mild fever,Mild cough,Mild fatigue,Runny nose,Cold,Hamster
Fatigue,Abdominal pain,Rose-colored spots,Prolonged high fever,Constipation,Typhoid,Moos
Cough with phlegm,High fever,Confusion,Shortness of breath,Chills,Pneumonia,Monkey
Nausea,Fatigue,Chills,Congestion,Sore throat,COVID-19,Deer
Sudden high fever,Rash,Pain behind the eyes,Mild bleeding,Severe headache,Dengue,Fox
Sore throat,Sneezing,Mild fatigue,Runny nose,Mild cough,Cold,Hyaenas
Night sweats,Fever (evening),Loss of appetite,Fatigue,Blood in cough,Tuberculosis,Lion
Anemia,Muscle pain,Fatigue,Vomiting,Sweating,Malaria,Cow
Mild fever,Wheezing,Fatigue,Chest discomfort,Chills,Bronchitis,Hamster
Prolonged high fever,Rose-colored spots,Fatigue,Abdominal pain,Constipation,Typhoid,Hamster
Itchy eyes,Swelling,Sneezing,Runny nose,Skin rash,Allergy,Cattle
Dehydration,Weakness,Fever,Nausea,Bloody diarrhea,Food Poisoning,Duck
Diarrhea,Bloody diarrhea,Nausea,Vomiting,Weakness,Food Poisoning,Pig
Muscle pain,Severe joint pain,High fever,Nausea,Rash,Chikungunya,Horse
Skin rash,Sneezing,Itchy eyes,Runny nose,Swelling,Allergy,Chicken
Rash,Fatigue,Sudden high fever,Mild bleeding,Pain behind the eyes,Dengue,Snake
Fatigue,Persistent cough,Night sweats,Blood in cough,Loss of appetite,Tuberculosis,Fowl
Rash,Nausea,High fever,Fatigue,Headache,Chikungunya,Snake
Wheezing,Shortness of breath,Chest tightness,Coughing,None,Asthma,Chicken
Persistent cough with mucus,Wheezing,Chest discomfort,Fatigue,Mild fever,Bronchitis,Buffaloes
Sneezing,Runny nose,Mild cough,Mild fever,Sore throat,Cold,Horse
High fever,Rash,Fatigue,Nausea,Headache,Chikungunya,Pig
Nausea,Anemia,Jaundice,Sweating,Fatigue,Malaria,Rabbit
Severe headache,Pain behind the eyes,Dengue Hemorrhagic Fever,Mild bleeding,Muscle and joint pain,Dengue,Cat
Muscle aches,Fever,Shortness of breath,Loss of taste or smell,Nausea,COVID-19,Cat
Chest tightness,Wheezing,Coughing,Shortness of breath,None,Asthma,Cattle
Shortness of breath,Dry cough,Chills,Fatigue,Muscle aches,COVID-19,Sheep
Confusion,Chest pain,Cough with phlegm,Shortness of breath,Fatigue,Pneumonia,Pig
Night sweats,Fatigue,Fever (evening),Persistent cough,Blood in cough,Tuberculosis,Fox
Mild fatigue,Runny nose,Mild cough,Sneezing,Sore throat,Cold,Donkey
Cough with phlegm,Confusion,High fever,Chest pain,Chills,Pneumonia,Donkey
Muscle pain,Fatigue,Severe joint pain,Headache,Rash,Chikungunya,Tiger
Runny nose,Mild fatigue,Sore throat,Mild fever,Mild cough,Cold,Sheep
Loss of appetite,Fatigue,Weight loss,Fever (evening),Persistent cough,Tuberculosis,Cattle
Mild fever,Sneezing,Sore throat,Mild cough,Runny nose,Cold,Duck
Vomiting,Muscle pain,Anemia,Fatigue,Headache,Malaria,Deer
Runny nose,Mild fatigue,Mild cough,Sneezing,Sore throat,Cold,Duck
Fatigue,Prolonged high fever,Rose-colored spots,Headache,Abdominal pain,Typhoid,Birds
Skin rash,Itchy eyes,Sneezing,Swelling,Runny nose,Allergy,Hamster
Muscle pain,Nausea,High fever,Severe joint pain,Rash,Chikungunya,Cow
Chest pain,Cough with phlegm,Fatigue,Chills,Shortness of breath,Pneumonia,Tiger
Cough with phlegm,Chest pain,Fatigue,Chills,Confusion,Pneumonia,Pig
Confusion,High fever,Chills,Shortness of breath,Chest pain,Pneumonia,Wolves
Jaundice,Headache,Nausea,Sweating,Vomiting,Malaria,Fowl
Shortness of breath,Fatigue,Chills,Cough with phlegm,Confusion,Pneumonia,Cattle
Diarrhea,Fever,Nausea,Sore throat,Fatigue,COVID-19,Wolves
Rose-colored spots,Weakness,Prolonged high fever,Abdominal pain,Diarrhea,Typhoid,Cow
Mild fever,Fatigue,Chest discomfort,Wheezing,Chills,Bronchitis,Donkey
Chest discomfort,Fatigue,Wheezing,Chills,Mild fever,Bronchitis,Deer
Mild cough,Sneezing,Runny nose,Mild fatigue,Mild fever,Cold,Rabbit
Mild fever,Mild fatigue,Sneezing,Runny nose,Mild cough,Cold,Donkey
Rash,Dengue Hemorrhagic Fever,Sudden high fever,Fatigue,Severe headache,Dengue,Horse
Muscle pain,Fatigue,High fever,Headache,Severe joint pain,Chikungunya,Fox
Muscle aches,Diarrhea,Nausea,Fever,Sore throat,COVID-19,Horse
Mild fever,Chest discomfort,Persistent cough with mucus,Fatigue,Wheezing,Bronchitis,Hyaenas
Loss of taste or smell,Shortness of breath,Diarrhea,Chills,Muscle aches,COVID-19,Monkey
Confusion,Cough with phlegm,Chest pain,High fever,Chills,Pneumonia,Buffaloes
Persistent cough,Loss of appetite,Weight loss,Blood in cough,Fatigue,Tuberculosis,Cat
Sneezing,Itchy eyes,Swelling,Skin rash,Runny nose,Allergy,Cat
Dengue Hemorrhagic Fever,Mild bleeding,Sudden high fever,Muscle and joint pain,Severe headache,Dengue,Mammal
Mild cough,Sore throat,Sneezing,Runny nose,Mild fatigue,Cold,Fox
Sore throat,Congestion,Dry cough,Fever,Shortness of breath,COVID-19,Elephant
Mild cough,Sneezing,Mild fatigue,Mild fever,Runny nose,Cold,Cow
Itchy eyes,Sneezing,Skin rash,Swelling,Runny nose,Allergy,Sheep
Rash,Pain behind the eyes,Sudden high fever,Dengue Hemorrhagic Fever,Fatigue,Dengue,Rabbit
Loss of taste or smell,Shortness of breath,Sore throat,Muscle aches,Fatigue,COVID-19,Birds
Sore throat,Mild fever,Sneezing,Mild fatigue,Runny nose,Cold,Dog
Fatigue,Fever (evening),Night sweats,Persistent cough,Weight loss,Tuberculosis,Hamster
Wheezing,Mild fever,Persistent cough with mucus,Fatigue,Chills,Bronchitis,Tiger
Loss of appetite,Fever (evening),Weight loss,Blood in cough,Night sweats,Tuberculosis,Elephant
Prolonged high fever,Rose-colored spots,Abdominal pain,Headache,Diarrhea,Typhoid,Fox
Nausea,Vomiting,Headache,Sweating,Anemia,Malaria,Mammal
Mild cough,Sore throat,Mild fever,Mild fatigue,Runny nose,Cold,Hamster
Shortness of breath,Wheezing,Coughing,Chest tightness,None,Asthma,Goat
Rash,Fatigue,Nausea,Muscle pain,High fever,Chikungunya,Cow
Mild bleeding,Pain behind the eyes,Severe headache,Rash,Dengue Hemorrhagic Fever,Dengue,Duck
Blood in cough,Fatigue,Loss of appetite,Weight loss,Night sweats,Tuberculosis,Monkey
Sudden high fever,Fatigue,Muscle and joint pain,Pain behind the eyes,Mild bleeding,Dengue,Elephant
Rose-colored spots,Abdominal pain,Diarrhea,Prolonged high fever,Constipation,Typhoid,Duck
Mild fever,Fatigue,Wheezing,Persistent cough with mucus,Chest discomfort,Bronchitis,Donkey
Prolonged high fever,Rose-colored spots,Weakness,Fatigue,Abdominal pain,Typhoid,Cattle
Shortness of breath,Cough with phlegm,Confusion,High fever,Chills,Pneumonia,Lion
Wheezing,Fatigue,Chest discomfort,Chills,Persistent cough with mucus,Bronchitis,Dog
Swelling,Itchy eyes,Sneezing,Skin rash,Runny nose,Allergy,Turtle
Headache,Fatigue,High fever,Nausea,Severe joint pain,Chikungunya,Lion
Nausea,Rash,Headache,Fatigue,Severe joint pain,Chikungunya,Fox
Wheezing,Chest discomfort,Mild fever,Chills,Fatigue,Bronchitis,Buffaloes
Sore throat,Chills,Fatigue,Vomiting,Headache,Flu,Dog
High fever,Muscle pain,Severe joint pain,Rash,Headache,Chikungunya,Chicken
Mild fever,Sneezing,Sore throat,Mild fatigue,Mild cough,Cold,Hyaenas
Shortness of breath,Coughing,Chest tightness,Wheezing,None,Asthma,Wolves
Fever,Diarrhea,Vomiting,Stomach cramps,Nausea,Food Poisoning,Cattle
Nausea,High fever,Rash,Muscle pain,Severe joint pain,Chikungunya,Pig
Mild fatigue,Sneezing,Sore throat,Mild cough,Mild fever,Cold,Mammal
Mild fever,Mild cough,Mild fatigue,Sneezing,Runny nose,Cold,Rabbit
Coughing,Shortness of breath,Chest tightness,Wheezing,None,Asthma,Cat
Muscle pain,Vomiting,Sweating,Jaundice,Headache,Malaria,Rabbit
High fever with chills,Jaundice,Headache,Fatigue,Muscle pain,Malaria,Hamster
Fatigue,Persistent cough,Loss of appetite,Fever (evening),Weight loss,Tuberculosis,Buffaloes
Rash,Severe joint pain,Headache,Muscle pain,High fever,Chikungunya,Cattle
Chest pain,Cough with phlegm,Chills,High fever,Fatigue,Pneumonia,Lion
Fever,Muscle or body aches,Headache,Fatigue,Chills,Flu,Cat
Mild fever,Fatigue,Persistent cough with mucus,Chills,Chest discomfort,Bronchitis,Goat
Fever,Weakness,Stomach cramps,Dehydration,Diarrhea,Food Poisoning,Hamster
Wheezing,Chest discomfort,Mild fever,Fatigue,Persistent cough with mucus,Bronchitis,Mammal
